tag: 
learn: normal
env: FrankaDrawerEnv_2-v1
render: True
scenario: lift_drawer_2
control_mode: ik_controller
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1-lift_drawer_2/no-ik
play_epoch: best
epochs: 200
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method FrankaDrawerEnv_2.compute_reward of <envs.franka_drawer_env_2.FrankaDrawerEnv_2 object at 0x7fbe91734370>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
59/200              29500               205.7               16.06               0.71                0.84                0.0                 -59.05              0.1                 
60/200              30000               205.58              15.57               0.66                0.88                0.0                 -57.34              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
61/200              30500               206.19              15.8                0.61                0.91                0.0                 -58.44              0.1                 
62/200              31000               206.47              15.69               0.63                0.35                0.04                -80.17              0.1                 
63/200              31500               202.78              12.2                0.48                0.77                0.0                 -60.27              0.1                 
64/200              32000               201.01              14.68               0.46                0.86                0.0                 -56.4               0.1                 
65/200              32500               203.53              14.82               0.58                0.91                0.01                -53.13              0.1                 
66/200              33000               207.67              14.14               0.62                0.62                0.0                 -72.02              0.1                 
67/200              33500               205.42              13.38               0.55                0.9                 0.0                 -56.98              0.1                 
68/200              34000               205.29              14.82               0.67                0.81                0.02                -60.93              0.1                 
69/200              34500               202.68              14.57               0.63                0.76                0.21                -63.33              0.1                 
70/200              35000               204.93              14.56               0.69                0.89                0.01                -53.31              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
71/200              35500               205.62              12.11               0.74                0.9                 0.53                -52.77              0.1                 
72/200              36000               200.2               13.12               0.66                0.78                0.08                -63.32              0.1                 
73/200              36500               203.39              14.22               0.69                0.96                0.05                -50.15              0.1                 
74/200              37000               203.4               14.45               0.74                0.84                0.01                -61.65              0.1                 
75/200              37500               204.54              14.63               0.72                0.75                0.07                -61.91              0.1                 
76/200              38000               205.05              14.99               0.71                0.86                0.04                -57.46              0.1                 
77/200              38500               203.77              14.2                0.75                0.87                0.14                -56.71              0.1                 
78/200              39000               205.12              14.67               0.56                0.88                0.0                 -57.99              0.1                 
79/200              39500               203.63              14.83               0.5                 0.89                0.14                -56.04              0.1                 
80/200              40000               202.36              13.98               0.59                0.88                0.0                 -53.56              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
81/200              40500               210.55              13.98               0.65                0.23                0.0                 -84.9               0.1                 
82/200              41000               205.82              14.64               0.64                1.0                 0.11                -46.91              0.1                 
83/200              41500               203.45              12.83               0.65                0.9                 0.0                 -51.49              0.1                 
84/200              42000               210.65              13.08               0.65                0.25                0.0                 -81.39              0.1                 
85/200              42500               204.25              12.8                0.56                0.89                0.01                -51.52              0.1                 
86/200              43000               204.98              13.72               0.6                 0.8                 0.0                 -57.66              0.1                 
87/200              43500               203.31              14.78               0.58                0.87                0.0                 -55.27              0.1                 
88/200              44000               206.24              14.28               0.51                0.84                0.33                -61.49              0.1                 
89/200              44500               202.55              12.43               0.63                0.89                0.0                 -53.97              0.1                 
90/200              45000               206.9               13.34               0.58                0.78                0.02                -63.93              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
91/200              45500               205.61              12.44               0.65                0.89                0.0                 -52.87              0.1                 
92/200              46000               206.53              14.51               0.66                0.79                0.05                -59.55              0.1                 
93/200              46500               205.3               14.8                0.63                0.83                0.0                 -55.57              0.1                 
94/200              47000               203.73              14.94               0.68                0.88                0.0                 -53.44              0.1                 
95/200              47500               204.05              14.9                0.74                0.85                1.57                -56.22              0.1                 
96/200              48000               205.24              15.42               0.73                0.88                1.86                -56.48              0.1                 
97/200              48500               207.61              15.95               0.75                0.85                0.11                -61.88              0.1                 
98/200              49000               206.37              15.38               0.74                0.87                1.0                 -54.33              0.1                 
99/200              49500               204.05              14.86               0.76                0.89                0.04                -52.57              0.1                 
100/200             50000               207.88              15.05               0.76                0.86                0.0                 -54.96              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
101/200             50500               205.37              13.43               0.62                0.77                0.94                -62.41              0.1                 
102/200             51000               203.36              13.83               0.75                0.91                0.01                -52.05              0.1                 
103/200             51500               206.4               14.25               0.79                0.88                0.0                 -55.85              0.1                 
104/200             52000               204.26              14.57               0.82                0.77                0.0                 -62.5               0.1                 
105/200             52500               204.05              14.85               0.84                0.87                0.08                -58.29              0.1                 
106/200             53000               202.41              13.39               0.71                0.86                0.0                 -57.28              0.1                 
107/200             53500               203.61              13.91               0.6                 0.91                0.06                -53.09              0.1                 
108/200             54000               204.82              14.66               0.68                0.81                0.11                -61.67              0.1                 
109/200             54500               207.54              14.58               0.53                0.88                0.02                -54.13              0.1                 
110/200             55000               203.64              15.26               0.49                0.88                0.0                 -54.28              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
111/200             55500               205.39              15.52               0.54                0.9                 0.0                 -54.26              0.1                 
112/200             56000               202.75              13.75               0.63                0.9                 0.0                 -54.73              0.1                 
113/200             56500               205.43              14.05               0.67                0.8                 0.03                -58.54              0.1                 
114/200             57000               203.46              14.37               0.67                0.88                0.54                -53.78              0.1                 
115/200             57500               201.39              14.78               0.79                0.91                0.12                -51.75              0.1                 
116/200             58000               204.14              12.94               0.81                0.94                0.07                -51.62              0.1                 
117/200             58500               204.76              15.59               0.74                0.91                1.16                -55.09              0.1                 
118/200             59000               205.14              15.23               0.55                0.86                0.07                -56.77              0.1                 
119/200             59500               204.48              14.99               0.5                 0.9                 0.0                 -52.78              0.1                 
120/200             60000               204.38              13.02               0.69                0.92                0.0                 -51.61              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
121/200             60500               204.54              12.62               0.59                0.82                0.0                 -56.73              0.1                 
122/200             61000               203.84              12.52               0.53                0.9                 0.0                 -52.69              0.1                 
