Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
122/300,61000,85.23,20.21,0.27,0.21,0.63,-87.57,0.1
123/300,61500,83.96,20.18,0.29,0.25,0.0,-84.79,0.1
124/300,62000,85.68,19.83,0.31,0.3,0.85,-80.98,0.1
125/300,62500,84.07,20.08,0.3,0.28,0.0,-82.23,0.1
126/300,63000,81.98,20.09,0.28,0.21,2.31,-88.66,0.1
127/300,63500,83.8,19.88,0.31,0.23,1.63,-87.32,0.1
128/300,64000,84.8,19.93,0.28,0.34,0.59,-78.28,0.1
129/300,64500,83.62,19.93,0.28,0.19,0.7,-90.04,0.1
130/300,65000,81.79,20.17,0.28,0.22,0.11,-86.81,0.1
131/300,65500,82.5,19.99,0.28,0.28,0.07,-82.37,0.1
132/300,66000,87.27,20.0,0.28,0.29,1.15,-81.9,0.1
133/300,66500,86.56,20.09,0.29,0.23,0.1,-85.72,0.1
134/300,67000,86.36,19.85,0.31,0.2,0.55,-88.2,0.1
135/300,67500,83.63,19.86,0.28,0.26,1.02,-86.01,0.1
136/300,68000,86.64,19.73,0.29,0.33,1.24,-79.04,0.1
137/300,68500,85.92,19.52,0.3,0.31,0.66,-80.51,0.1
138/300,69000,85.91,19.9,0.33,0.26,0.24,-84.01,0.1
139/300,69500,82.13,18.67,0.34,0.25,0.3,-84.36,0.1
140/300,70000,86.91,17.86,0.35,0.29,0.56,-81.52,0.1
141/300,70500,84.32,19.32,0.31,0.27,1.09,-83.05,0.1
142/300,71000,85.4,19.54,0.32,0.25,0.78,-85.02,0.1
143/300,71500,86.21,19.31,0.34,0.3,0.45,-82.28,0.1
144/300,72000,83.59,19.38,0.34,0.31,0.2,-79.97,0.1
145/300,72500,86.84,19.44,0.33,0.33,0.47,-77.6,0.1
146/300,73000,85.05,19.27,0.33,0.25,0.08,-84.31,0.1
147/300,73500,85.77,19.2,0.35,0.26,0.24,-83.76,0.1
148/300,74000,86.0,19.32,0.36,0.29,0.05,-80.73,0.1
149/300,74500,89.85,19.58,0.38,0.41,0.04,-70.72,0.1
150/300,75000,85.37,19.52,0.4,0.22,0.54,-84.83,0.1
151/300,75500,85.23,19.5,0.41,0.34,0.25,-77.69,0.1
152/300,76000,90.09,19.33,0.41,0.16,0.94,-91.39,0.1
153/300,76500,90.26,19.47,0.45,0.36,0.51,-76.02,0.1
154/300,77000,86.87,19.5,0.44,0.29,0.83,-82.51,0.1
155/300,77500,89.72,19.64,0.49,0.32,1.29,-80.75,0.1
156/300,78000,90.85,19.3,0.49,0.35,0.85,-77.6,0.1
157/300,78500,89.77,19.03,0.48,0.29,1.11,-81.62,0.1
158/300,79000,91.94,19.05,0.54,0.33,1.05,-76.18,0.1
159/300,79500,92.13,18.57,0.58,0.33,0.46,-77.16,0.1
160/300,80000,93.82,15.18,0.7,0.28,0.25,-81.43,0.1
161/300,80500,90.66,15.09,0.69,0.36,0.71,-74.7,0.1
162/300,81000,90.57,17.45,0.73,0.29,0.76,-78.94,0.1
