Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
1/300,500,84.7,12.93,0.22,0.27,0.0,-82.95,0.1
2/300,1000,83.68,18.63,0.24,0.19,0.64,-89.31,0.1
3/300,1500,85.2,19.44,0.26,0.18,0.37,-90.0,0.1
4/300,2000,81.81,19.71,0.23,0.18,0.29,-89.96,0.1
5/300,2500,84.54,19.94,0.25,0.19,1.13,-89.52,0.1
6/300,3000,81.8,19.98,0.25,0.21,0.0,-87.36,0.1
7/300,3500,80.87,19.94,0.24,0.18,0.16,-89.87,0.1
8/300,4000,82.28,20.01,0.23,0.23,0.03,-85.84,0.1
9/300,4500,82.83,20.04,0.24,0.17,0.13,-90.62,0.1
10/300,5000,82.14,20.05,0.22,0.29,1.09,-81.77,0.1
11/300,5500,85.35,20.14,0.21,0.28,0.02,-82.09,0.1
12/300,6000,87.43,20.23,0.23,0.2,0.28,-88.42,0.1
13/300,6500,81.79,20.24,0.22,0.2,0.0,-88.14,0.1
14/300,7000,87.8,20.15,0.21,0.19,0.22,-89.12,0.1
15/300,7500,82.02,20.2,0.22,0.15,0.93,-92.63,0.1
16/300,8000,83.22,20.2,0.21,0.19,0.33,-89.12,0.1
17/300,8500,86.8,20.11,0.2,0.13,0.0,-93.68,0.1
18/300,9000,84.85,20.23,0.21,0.27,0.3,-83.09,0.1
19/300,9500,84.88,20.29,0.2,0.32,0.06,-78.73,0.1
20/300,10000,84.57,20.29,0.2,0.24,0.39,-85.3,0.1
21/300,10500,84.06,20.33,0.18,0.19,0.82,-89.51,0.1
22/300,11000,82.36,20.35,0.2,0.19,0.09,-89.12,0.1
23/300,11500,85.75,20.33,0.2,0.24,0.07,-85.24,0.1
24/300,12000,85.96,20.43,0.2,0.18,0.0,-89.87,0.1
25/300,12500,86.25,20.4,0.18,0.29,0.51,-81.39,0.1
26/300,13000,84.65,20.41,0.17,0.21,0.0,-87.42,0.1
27/300,13500,87.03,20.39,0.18,0.18,0.32,-89.96,0.1
28/300,14000,86.38,20.38,0.15,0.23,0.0,-85.79,0.1
29/300,14500,83.05,20.41,0.19,0.25,0.54,-84.6,0.1
30/300,15000,83.74,20.38,0.18,0.23,0.72,-86.6,0.1
31/300,15500,81.48,20.41,0.16,0.12,0.09,-94.77,0.1
32/300,16000,82.14,20.4,0.17,0.17,0.0,-90.62,0.1
33/300,16500,83.72,20.4,0.17,0.19,0.22,-89.18,0.1
34/300,17000,82.49,20.32,0.15,0.23,0.08,-85.96,0.1
35/300,17500,83.06,20.45,0.17,0.22,0.05,-87.12,0.1
36/300,18000,85.54,20.43,0.17,0.26,1.2,-84.09,0.1
37/300,18500,88.04,20.36,0.16,0.22,0.05,-86.76,0.1
38/300,19000,84.27,20.37,0.16,0.21,0.0,-87.54,0.1
39/300,19500,86.46,20.39,0.16,0.27,0.18,-82.81,0.1
40/300,20000,85.55,20.42,0.18,0.24,0.0,-85.32,0.1
41/300,20500,85.4,20.42,0.15,0.22,0.28,-87.19,0.1
42/300,21000,86.66,20.41,0.16,0.25,0.01,-84.3,0.1
43/300,21500,83.31,20.39,0.16,0.29,0.19,-81.25,0.1
