Epoch,Episodes,TimeCost(sec),Actor_Loss,Critic_Loss,Success,CollisionsAvg,ExRewardAvg,Range
88/150,44000,211.23,9.86,0.5,0.98,0.53,-45.2,0.1
89/150,44500,212.07,9.99,0.49,0.96,0.69,-45.24,0.1
90/150,45000,212.01,9.87,0.46,0.96,1.35,-43.95,0.1
91/150,45500,212.09,9.87,0.46,0.95,1.62,-44.65,0.1
92/150,46000,209.5,9.9,0.48,0.97,0.89,-44.93,0.1
93/150,46500,210.72,9.9,0.49,0.93,1.26,-49.12,0.1
94/150,47000,209.8,9.88,0.47,0.93,1.07,-46.65,0.1
95/150,47500,208.62,9.87,0.47,0.95,0.39,-46.89,0.1
96/150,48000,209.81,9.73,0.48,0.97,0.43,-44.09,0.1
97/150,48500,208.91,9.88,0.46,0.97,0.71,-44.16,0.1
98/150,49000,209.03,9.92,0.48,0.96,0.47,-44.78,0.1
99/150,49500,210.2,9.98,0.46,0.95,0.84,-43.84,0.1
100/150,50000,210.96,9.92,0.49,0.97,0.31,-43.28,0.1
101/150,50500,211.8,9.94,0.47,0.97,0.96,-45.41,0.1
102/150,51000,211.36,9.86,0.46,0.94,0.72,-46.96,0.1
103/150,51500,211.9,9.71,0.47,0.98,0.76,-43.82,0.1
104/150,52000,209.61,9.75,0.46,0.93,0.97,-49.9,0.1
105/150,52500,209.43,9.87,0.46,0.96,1.45,-48.19,0.1
106/150,53000,212.13,9.64,0.46,0.98,1.05,-45.48,0.1
107/150,53500,210.24,9.76,0.46,0.96,0.46,-48.35,0.1
108/150,54000,210.37,9.63,0.45,0.98,1.39,-42.41,0.1
109/150,54500,214.03,9.71,0.45,1.0,0.64,-41.44,0.1
110/150,55000,211.6,9.61,0.44,1.0,0.49,-39.67,0.1
111/150,55500,210.77,9.73,0.46,0.97,0.6,-42.0,0.1
112/150,56000,210.18,9.76,0.48,0.98,0.58,-44.59,0.1
113/150,56500,212.54,9.84,0.46,0.99,0.52,-41.88,0.1
114/150,57000,206.8,9.91,0.46,0.98,0.69,-41.49,0.1
115/150,57500,208.21,9.92,0.5,0.97,0.85,-43.77,0.1
116/150,58000,208.55,9.99,0.5,0.93,0.31,-43.76,0.1
117/150,58500,210.49,9.99,0.47,0.99,0.31,-43.04,0.1
118/150,59000,212.6,10.07,0.47,0.96,0.51,-44.84,0.1
119/150,59500,209.67,10.25,0.5,0.98,1.12,-45.04,0.1
120/150,60000,212.44,10.18,0.47,0.96,0.38,-42.67,0.1
121/150,60500,213.13,10.12,0.47,1.0,0.62,-42.32,0.1
122/150,61000,210.72,9.99,0.49,0.97,0.55,-40.92,0.1
123/150,61500,210.86,9.93,0.49,0.97,0.62,-43.49,0.1
124/150,62000,212.27,9.92,0.48,0.97,0.99,-45.43,0.1
125/150,62500,210.74,9.93,0.51,0.95,0.63,-44.12,0.1
126/150,63000,211.64,9.94,0.47,0.97,0.33,-40.87,0.1
127/150,63500,210.81,9.91,0.5,0.99,0.95,-41.63,0.1
128/150,64000,209.69,9.89,0.5,0.99,1.07,-43.42,0.1
129/150,64500,213.16,9.96,0.53,0.98,0.57,-43.6,0.1
130/150,65000,212.84,10.13,0.54,0.97,0.48,-43.68,0.1
131/150,65500,212.76,10.23,0.45,1.0,0.24,-40.51,0.1
132/150,66000,213.28,10.19,0.48,0.99,0.88,-42.24,0.1
133/150,66500,210.51,10.15,0.46,0.95,1.35,-44.69,0.1
134/150,67000,211.58,10.08,0.48,0.99,0.57,-41.78,0.1
135/150,67500,211.13,10.27,0.5,0.96,0.89,-44.8,0.1
136/150,68000,213.2,10.37,0.51,1.0,0.57,-42.06,0.1
137/150,68500,214.04,10.47,0.49,0.99,0.64,-43.45,0.1
138/150,69000,213.24,10.22,0.5,0.99,0.82,-43.37,0.1
139/150,69500,213.28,9.99,0.46,0.99,1.18,-43.06,0.1
140/150,70000,211.1,10.07,0.48,0.97,0.36,-39.87,0.1
141/150,70500,212.59,9.84,0.43,1.0,1.52,-42.49,0.1
142/150,71000,209.06,9.86,0.48,0.97,1.26,-42.84,0.1
143/150,71500,212.9,9.85,0.46,0.97,0.76,-42.75,0.1
144/150,72000,212.21,9.84,0.48,0.99,1.19,-40.98,0.1
145/150,72500,209.8,9.98,0.49,0.97,0.56,-43.95,0.1
146/150,73000,210.54,10.01,0.51,0.99,0.41,-41.36,0.1
147/150,73500,212.6,9.94,0.5,0.98,1.16,-41.51,0.1
148/150,74000,213.56,10.03,0.51,0.99,0.51,-39.41,0.1
149/150,74500,212.94,10.05,0.49,0.99,0.59,-42.68,0.1
150/150,75000,212.35,10.1,0.49,0.97,0.63,-46.15,0.1
