tag: 
learn: normal
env: RandDynObstEnv-v1
render: False
scenario: 
control_mode: position
model_path: 
play_epoch: best
epochs: 350
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 20
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [46]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f37752ac2b0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
61/350              30500               88.58               20.35               0.16                0.19                0.0                 -88.98              0.1                 
62/350              31000               88.67               20.36               0.15                0.25                1.51                -84.92              0.1                 
63/350              31500               89.15               20.36               0.15                0.22                0.41                -87.32              0.1                 
64/350              32000               88.73               20.45               0.16                0.17                0.1                 -91.11              0.1                 
65/350              32500               88.87               20.5                0.17                0.33                0.02                -77.95              0.1                 
66/350              33000               88.56               20.41               0.16                0.24                0.0                 -85.07              0.1                 
67/350              33500               88.74               20.39               0.16                0.24                0.09                -85.12              0.1                 
68/350              34000               88.9                20.38               0.15                0.26                0.09                -83.6               0.1                 
69/350              34500               89.13               20.34               0.15                0.19                0.31                -89.15              0.1                 
70/350              35000               88.96               20.37               0.14                0.19                0.07                -88.97              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
71/350              35500               89.0                20.3                0.15                0.26                0.09                -83.58              0.1                 
72/350              36000               90.18               20.32               0.17                0.21                0.31                -87.72              0.1                 
73/350              36500               89.51               20.41               0.16                0.23                0.0                 -85.94              0.1                 
74/350              37000               89.61               20.34               0.16                0.23                0.09                -85.97              0.1                 
75/350              37500               88.84               20.31               0.17                0.25                0.1                 -84.88              0.1                 
