tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: lift_drawer_2
control_mode: position
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1/drawer
play_epoch: best
epochs: 150
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f3113904460>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
60/150              30000               170.92              15.77               1.11                0.63                10.71               -71.6               0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
61/150              30500               168.62              16.54               1.12                0.72                4.11                -65.33              0.1                 
62/150              31000               170.92              16.18               1.1                 0.62                3.1                 -71.54              0.1                 
63/150              31500               167.89              15.21               1.14                0.58                10.43               -76.93              0.1                 
64/150              32000               165.77              15.31               1.06                0.35                2.76                -86.51              0.1                 
65/150              32500               169.25              15.63               1.08                0.84                4.65                -58.21              0.1                 
66/150              33000               171.5               15.97               1.08                0.82                4.61                -61.73              0.1                 
67/150              33500               173.17              16.66               1.08                0.92                5.76                -56.12              0.1                 
68/150              34000               170.13              16.47               1.02                0.86                8.41                -56.47              0.1                 
69/150              34500               176.32              15.75               0.89                0.71                5.54                -65.83              0.1                 
70/150              35000               169.74              16.0                0.95                0.88                6.44                -52.48              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
71/150              35500               169.79              14.02               1.01                0.87                2.12                -55.39              0.1                 
72/150              36000               169.22              14.75               0.89                0.94                6.09                -49.67              0.1                 
73/150              36500               171.06              13.06               1.01                0.92                6.02                -54.81              0.1                 
74/150              37000               174.72              12.88               0.99                0.98                6.6                 -58.3               0.1                 
75/150              37500               169.29              12.7                1.04                0.98                1.33                -44.75              0.1                 
76/150              38000               170.48              13.91               0.92                0.87                3.19                -51.36              0.1                 
77/150              38500               172.6               14.85               0.96                0.95                7.3                 -48.91              0.1                 
78/150              39000               169.83              13.5                1.0                 0.9                 6.31                -56.48              0.1                 
79/150              39500               168.17              13.98               0.9                 0.95                4.73                -50.82              0.1                 
