tag: 
learn: normal
env: RandDynObstEnv-v1
render: True
scenario: lift_drawer_2
control_mode: ik_controller
model_path: /home/qiao/RL-Dyn-Env-main/log/RandDynObstEnv-v1-lift_drawer_2/no-ik
play_epoch: best
epochs: 100
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method RandDynObstEnv.compute_reward of <envs.rand_dyn_env.RandDynObstEnv object at 0x7f60215484c0>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
60/100              30000               183.64              14.63               0.62                0.82                0.01                -59.09              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
61/100              30500               184.4               14.02               0.66                0.8                 0.06                -59.61              0.1                 
62/100              31000               181.0               14.8                0.61                0.67                0.09                -65.85              0.1                 
63/100              31500               183.99              14.46               0.69                0.82                0.07                -59.24              0.1                 
64/100              32000               182.39              14.19               0.62                0.79                0.05                -62.51              0.1                 
65/100              32500               185.23              15.28               0.64                0.82                0.21                -63.37              0.1                 
66/100              33000               182.71              15.48               0.64                0.9                 0.28                -54.36              0.1                 
67/100              33500               180.71              14.86               0.61                0.89                0.06                -54.93              0.1                 
68/100              34000               181.98              14.48               0.61                0.91                0.03                -56.71              0.1                 
69/100              34500               183.22              14.84               0.52                0.89                0.55                -53.87              0.1                 
70/100              35000               181.18              14.5                0.47                0.93                0.04                -49.72              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
71/100              35500               182.45              11.92               0.49                0.84                0.02                -56.52              0.1                 
72/100              36000               183.51              14.58               0.66                0.76                0.12                -65.18              0.1                 
73/100              36500               188.5               14.05               0.78                0.57                1.08                -76.13              0.1                 
74/100              37000               187.23              13.82               0.73                0.81                0.01                -68.33              0.1                 
75/100              37500               188.47              12.13               0.57                0.86                2.16                -56.2               0.1                 
76/100              38000               182.99              14.3                0.57                0.93                0.0                 -55.69              0.1                 
77/100              38500               180.21              15.27               0.66                0.82                0.16                -59.92              0.1                 
78/100              39000               181.48              14.83               0.67                0.79                0.2                 -60.84              0.1                 
79/100              39500               181.16              14.94               0.63                0.85                0.42                -55.48              0.1                 
80/100              40000               181.59              15.04               0.68                0.8                 0.02                -63.21              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
81/100              40500               179.26              14.96               0.67                0.92                0.08                -50.71              0.1                 
82/100              41000               177.15              15.29               0.48                0.89                0.19                -52.13              0.1                 
83/100              41500               177.56              14.72               0.63                0.9                 0.3                 -54.09              0.1                 
84/100              42000               179.24              15.15               0.71                0.88                0.53                -58.58              0.1                 
85/100              42500               179.2               15.63               0.65                0.78                0.68                -62.17              0.1                 
86/100              43000               179.06              15.39               0.71                0.92                0.06                -51.62              0.1                 
87/100              43500               178.22              14.89               0.71                0.8                 0.15                -58.41              0.1                 
88/100              44000               181.48              15.5                0.65                0.85                0.14                -59.95              0.1                 
