tag: 
learn: normal
env: FrankaDrawerEnv_2-v1
render: True
scenario: lift_drawer_2
control_mode: ik_controller
model_path: /home/qiao/RL-Dyn-Env-main/log/FrankaDrawerEnv_2-v1-lift_drawer_2/20231208-232912
play_epoch: best
epochs: 100
cycles: 50
num_envs: 10
train_batches: 50
batch_size: 256
timesteps: 80
env_n_substeps: 80
num_obst: 1
gamma: 0.98
pi_lr: 0.001
q_lr: 0.001
act_l2: 1.0
polyak: 0.95
actor_layer_sizes: [512, 256, 128]
actor_batch_norm: [False, False, False]
critic_layer_sizes: [512, 256, 128]
critic_batch_norm: [False, False, False]
obj_lost_reward: -0.3
collision_reward: -0.5
clip_return: True
reward_min: -1.0
reward_max: 0.0
eps_act: 0.3
std_act: 0.2
buffer_size: 20000
buffer_type: energy
her: future
her_ratio: 0.8
pool_rule: full
goal_based: True
cur_acc: 0.0
obs_dims: [82]
acts_dims: [4]
compute_reward: <bound method FrankaDrawerEnv_2.compute_reward of <envs.franka_drawer_env_2.FrankaDrawerEnv_2 object at 0x7fe04464a370>>
*** agent initialization complete ***
*** tester initialization complete ***


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
59/100              29500               200.92              12.33               0.87                0.81                0.15                -57.96              0.1                 
60/100              30000               206.02              14.13               0.79                0.54                0.0                 -82.45              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
61/100              30500               201.19              12.35               0.95                0.91                0.0                 -53.69              0.1                 
62/100              31000               199.54              13.6                0.56                0.93                0.0                 -49.71              0.1                 
63/100              31500               201.44              10.63               0.78                0.91                0.2                 -57.61              0.1                 
64/100              32000               199.43              11.59               0.71                0.91                0.0                 -51.96              0.1                 
65/100              32500               202.57              12.52               0.56                0.96                0.02                -53.43              0.1                 
66/100              33000               201.91              13.08               0.67                0.94                3.48                -54.03              0.1                 
67/100              33500               199.68              12.23               0.71                0.82                1.48                -59.69              0.1                 
68/100              34000               203.55              14.0                0.73                0.88                0.49                -53.01              0.1                 
69/100              34500               200.97              13.25               0.6                 0.78                0.05                -59.71              0.1                 
70/100              35000               199.36              14.41               0.61                0.82                0.75                -57.37              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
71/100              35500               203.4               14.13               0.76                0.81                0.05                -61.5               0.1                 
72/100              36000               200.1               14.39               0.71                0.86                0.24                -54.24              0.1                 
73/100              36500               202.42              14.21               0.48                0.87                0.0                 -55.51              0.1                 
74/100              37000               201.33              12.34               0.61                0.71                0.4                 -73.92              0.1                 
75/100              37500               203.89              13.89               0.66                0.9                 0.0                 -54.28              0.1                 
76/100              38000               201.52              14.41               0.68                0.78                0.06                -66.76              0.1                 
77/100              38500               200.14              14.17               0.65                0.97                0.0                 -48.9               0.1                 
78/100              39000               201.94              13.34               0.82                0.86                0.72                -56.67              0.1                 
79/100              39500               201.4               13.97               0.72                0.95                0.0                 -51.5               0.1                 
80/100              40000               203.13              13.53               0.8                 0.87                0.1                 -54.06              0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
81/100              40500               204.92              13.29               0.77                0.91                0.13                -54.83              0.1                 
82/100              41000               204.51              12.41               0.72                0.75                1.32                -70.75              0.1                 
83/100              41500               207.68              12.71               0.67                0.4                 0.0                 -83.75              0.1                 
84/100              42000               200.02              13.74               0.74                0.75                0.24                -66.18              0.1                 
85/100              42500               199.51              14.23               0.7                 0.92                0.15                -54.69              0.1                 
86/100              43000               199.72              14.21               0.65                0.83                0.0                 -54.85              0.1                 
87/100              43500               201.86              12.16               0.56                0.93                0.13                -52.31              0.1                 
88/100              44000               200.79              14.41               0.51                0.88                0.0                 -55.0               0.1                 
89/100              44500               203.38              13.03               0.7                 0.91                0.64                -52.54              0.1                 
90/100              45000               202.23              12.61               0.7                 0.91                0.01                -59.0               0.1                 


Epoch               Episodes            TimeCost(sec)       Actor_Loss          Critic_Loss         Success             CollisionsAvg       ExRewardAvg         Range               
91/100              45500               202.0               14.5                0.73                0.21                0.29                -90.43              0.1                 
92/100              46000               198.61              14.67               0.68                0.9                 0.71                -52.77              0.1                 
93/100              46500               202.84              13.76               0.57                0.93                0.72                -54.08              0.1                 
94/100              47000               206.37              14.01               0.79                0.8                 0.21                -70.64              0.1                 
95/100              47500               205.22              14.24               0.8                 0.81                0.1                 -63.98              0.1                 
96/100              48000               203.84              14.87               0.77                0.92                0.03                -51.19              0.1                 
97/100              48500               205.56              14.82               0.8                 0.84                0.0                 -55.61              0.1                 
98/100              49000               206.25              14.73               0.69                0.91                0.03                -55.08              0.1                 
99/100              49500               204.4               14.91               0.74                0.93                0.53                -50.25              0.1                 
100/100             50000               205.28              15.26               0.79                0.92                0.0                 -50.73              0.1                 
